Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
6721e17a3a7b5a97469bfb96,Xây d?ng website ??t phòng khách s?n+ database,https://trello.com/c/bwlQ2PDp/2-x%C3%A2y-d%E1%BB%B1ng-website-%C4%91%E1%BA%B7t-ph%C3%B2ng-kh%C3%A1ch-s%E1%BA%A1n-database,,,"mauphuong, thongkuninedoan",,0,,0,0,0,0,2024-10-30T10:53:50.159Z,6721e179f681146bda5c58f6,C?n làm,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,,FALSE
6721e17aafc632c4ea25b34c,Làm báo cáo,https://trello.com/c/CG7uuSIT/1-l%C3%A0m-b%C3%A1o-c%C3%A1o,,,thongkuninedoan,,0,,0,0,0,0,2024-10-30T10:54:04.934Z,6721e179f681146bda5c58f6,C?n làm,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,,FALSE
6721ebe005eca8031624aae4,Làm file thuy?t trình,https://trello.com/c/bhnlLm00/3-l%C3%A0m-file-thuy%E1%BA%BFt-tr%C3%ACnh,,,mauphuong,,0,,0,0,0,0,2024-10-30T10:54:15.613Z,6721e179f681146bda5c58f6,C?n làm,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,,FALSE
6721ebeb9341fd0cbe8fd519,V? giao di?n figma,https://trello.com/c/azr0ouBh/4-v%E1%BA%BD-giao-di%E1%BB%87n-tr%C3%AAn-figma,,,"mauphuong, thongkuninedoan",,0,,0,0,0,0,2024-10-30T10:54:33.754Z,6721e179f681146bda5c58f6,C?n làm,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,,FALSE
6721ebf1435b89bfbe7eac59,??y file lên github,https://trello.com/c/xDDw5B0r/5-%C4%91%E1%BA%A9y-file-l%C3%AAn-github,,,thongkuninedoan,,0,,0,0,0,0,2024-10-30T10:54:49.301Z,6721e179f681146bda5c58f6,C?n làm,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,,FALSE
6721ee5df213ef3a5fa2ad42,Làm báo cáo ,https://trello.com/c/gl1Eoj10/7-l%C3%A0m-b%C3%A1o-c%C3%A1o,,,thongkuninedoan,2024-10-29T16:59:00.000Z,0,,0,0,0,0,2024-10-30T10:38:38.994Z,6721e179f7b956f0f6346366,?ã hoàng thành,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,2024-09-05T01:00:00.000Z,TRUE
6721ee69fe04e3d5a460630f,Làm file thuy?t trình,https://trello.com/c/kBqvtNJq/8-l%C3%A0m-file-thuy%E1%BA%BFt-tr%C3%ACnh,,,mauphuong,2024-10-29T16:59:00.000Z,0,,0,0,0,0,2024-10-30T10:38:58.532Z,6721e179f7b956f0f6346366,?ã hoàng thành,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,2024-09-05T01:00:00.000Z,TRUE
6721ee7520759cc27b7706fd,V? giao di?n figma,https://trello.com/c/q7LPvkHv/9-v%E1%BA%BD-giao-di%E1%BB%87n-tr%C3%AAn-figma,"[https://drive.google.com/drive/folders/1iKVQbHV7Y_943B_h-7QalvUQ0Arp5JDd?usp=drive_link](https://drive.google.com/drive/folders/1iKVQbHV7Y_943B_h-7QalvUQ0Arp5JDd?usp=drive_link ""smartCard-inline"")",,"mauphuong, thongkuninedoan",2024-10-27T17:00:00.000Z,0,,0,0,0,0,2024-10-30T10:39:59.379Z,6721e179f7b956f0f6346366,?ã hoàng thành,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,2024-09-05T01:00:00.000Z,TRUE
6721ef0a1a78e83a1c5e8897,??y file lên github,https://trello.com/c/JbCyhTvH/10-%C4%91%E1%BA%A9y-file-l%C3%AAn-github,"[https://github.com/thongkunine/CCMTPTPM.git](https://github.com/thongkunine/CCMTPTPM.git ""smartCard-inline"")",,thongkuninedoan,2024-10-30T06:00:00.000Z,0,,0,0,0,0,2024-10-30T10:40:12.308Z,6721e179f7b956f0f6346366,?ã hoàng thành,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,2024-09-05T01:00:00.000Z,TRUE
6721f842949bbd7925c13025,Xây d?ng website ,https://trello.com/c/6vVesS4V/11-x%C3%A2y-d%E1%BB%B1ng-website,"[https://drive.google.com/drive/folders/1iKVQbHV7Y_943B_h-7QalvUQ0Arp5JDd?usp=drive_link](https://drive.google.com/drive/folders/1iKVQbHV7Y_943B_h-7QalvUQ0Arp5JDd?usp=drive_link ""smartCard-inline"")",,"mauphuong, thongkuninedoan",2024-10-10T17:00:00.000Z,0,,0,0,0,0,2024-10-30T10:40:23.350Z,6721e179f7b956f0f6346366,?ã hoàng thành,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,2024-09-05T01:00:00.000Z,TRUE
6721fa9cce4b6318bfa84f01,Database,https://trello.com/c/PRLNPpqu/12-database,,,mauphuong,2024-10-10T17:00:00.000Z,0,,0,0,0,0,2024-10-30T10:40:35.111Z,6721e179f7b956f0f6346366,?ã hoàng thành,6721e1787a1e7e7136bb7802,Báo cáo cu?i khóa,FALSE,2024-09-05T01:00:00.000Z,TRUE
